,fatrCode,facilityId,measDate,weeks,fldCode,sectCode,itemCode,senVal,ymd,cntCollect,num
34054,PO,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,34040
34055,PI,PF_0010019_01,2020-02-09 19:00:00,"(2020, 6)",FG,NT,80300,5.5,20200209,20,34039
34056,TE,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,EO,80300,-0.65,20200209,20,34073
34057,SO,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,NT,80300,300.0,20200209,20,34074
34058,TL,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,NT,80300,90.0,20200209,20,34071
34059,RP,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,EO,80300,0.0,20200209,20,34070
34060,SI,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,NT,80300,20.0,20200209,20,34069
34061,PL,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,EL,80300,5.95,20200209,20,34068
34062,PO,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,34067
34063,HE,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,EO,80300,80.8,20200209,20,34066
34064,TI,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,EI,80300,15.03,20200209,20,34072
34065,PI,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,NT,80300,5.5,20200209,20,34064
34066,EL,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,EL,80300,2.82,20200209,20,34063
34067,EO,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,34062
34068,HI,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,EI,80300,87.59,20200209,20,34061
34069,CI,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,EI,80300,288.8,20200209,20,34060
34070,EI,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,NT,80300,2.9,20200209,20,34059
34071,WD,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,EO,80300,3.45,20200209,20,34058
34072,WS,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,EO,80300,1.12,20200209,20,34057
34073,HL,PF_0010019_01,2020-02-09 20:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,34065
34074,RP,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,EO,80300,0.0,20200209,19,34086
34075,EO,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,19,34087
34076,WD,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,EO,80300,3.84,20200209,19,34088
34077,HI,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,EI,80300,89.42,20200209,19,34092
34078,WS,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,EO,80300,1.51,20200209,19,34091
34079,TE,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,EO,80300,-0.81,20200209,19,34085
34080,EL,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,EL,80300,2.78,20200209,19,34090
34081,CI,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,EI,80300,308.0,20200209,19,34084
34082,SI,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,NT,80300,20.0,20200209,19,34089
34083,PI,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,NT,80300,5.5,20200209,19,34082
34084,TI,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,EI,80300,15.61,20200209,19,34081
34085,PO,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,19,34080
34086,HL,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,19,34079
34087,EI,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,NT,80300,2.9,20200209,19,34078
34088,HE,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,EO,80300,80.26,20200209,19,34077
34089,PL,PF_0010019_01,2020-02-09 21:00:00,"(2020, 6)",FG,EL,80300,5.96,20200209,19,34076
